Country,Year,Begin,End,EDI before,EDI end,Type,Time,Original_regime,Region
Argentina,1928,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1929,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1930,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1931,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1966,1966,1967,0.53,0.1,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1967,1966,1967,0.53,0.1,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1975,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1976,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1977,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Austria,1931,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1932,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1933,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1934,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1935,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1914,1914,1915,0.58,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1915,1914,1915,0.58,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1940,1940,1941,0.57,0.13,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1941,1940,1941,0.57,0.13,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Chile,1973,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Chile,1974,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Chile,1975,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Czech Republic,1930,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1931,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1932,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1933,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1934,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1935,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1936,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1937,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1938,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1939,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1940,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1940,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1941,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1942,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1943,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1944,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1932,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1933,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1934,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1935,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Fiji,1987,1987,1988,0.62,0.23,Military Coup,Pre-third Wave,Democracy,East Asia and Pacific
Fiji,1988,1987,1988,0.62,0.23,Military Coup,Pre-third Wave,Democracy,East Asia and Pacific
France,1939,1939,1941,0.56,0.09,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
France,1940,1939,1941,0.56,0.09,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
