Country,Year,Begin,End,Outcome,Region
Afghanistan,2001,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2002,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2003,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2004,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2005,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2006,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2007,2001,2008,Stabilized electoral autocracy,South Asia
Afghanistan,2008,2001,2008,Stabilized electoral autocracy,South Asia
Albania,1916,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1917,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1918,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1919,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1920,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1921,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1922,1916,1922,Failed liberalization,Europe and Central Asia
Albania,1946,1946,1947,Failed liberalization,Europe and Central Asia
Albania,1947,1946,1947,Failed liberalization,Europe and Central Asia
Albania,1991,1991,1993,Failed liberalization,Europe and Central Asia
Albania,1992,1991,1993,Failed liberalization,Europe and Central Asia
Albania,1993,1991,1993,Failed liberalization,Europe and Central Asia
Albania,2001,2001,2005,Success,Europe and Central Asia
Albania,2002,2001,2005,Success,Europe and Central Asia
Albania,2003,2001,2005,Success,Europe and Central Asia
Albania,2004,2001,2005,Success,Europe and Central Asia
Albania,2005,2001,2005,Success,Europe and Central Asia
Algeria,1962,1962,1963,Failed liberalization,Middle East and North Africa
Algeria,1963,1962,1963,Failed liberalization,Middle East and North Africa
Algeria,1995,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,1996,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,1997,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,1998,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,1999,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,2000,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,2001,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Algeria,2002,1995,2002,Stabilized electoral autocracy,Middle East and North Africa
Angola,2008,2008,2018,Censored,Sub-Saharan Africa
Angola,2009,2008,2018,Censored,Sub-Saharan Africa
Angola,2010,2008,2018,Censored,Sub-Saharan Africa
Angola,2011,2008,2018,Censored,Sub-Saharan Africa
Angola,2012,2008,2018,Censored,Sub-Saharan Africa
Angola,2013,2008,2018,Censored,Sub-Saharan Africa
Angola,2014,2008,2018,Censored,Sub-Saharan Africa
Angola,2015,2008,2018,Censored,Sub-Saharan Africa
Angola,2016,2008,2018,Censored,Sub-Saharan Africa
Angola,2017,2008,2018,Censored,Sub-Saharan Africa
Angola,2018,2008,2018,Censored,Sub-Saharan Africa
Argentina,1912,1912,1928,Success,Latin America and Caribbean
Argentina,1913,1912,1928,Success,Latin America and Caribbean
Argentina,1914,1912,1928,Success,Latin America and Caribbean
Argentina,1915,1912,1928,Success,Latin America and Caribbean
Argentina,1916,1912,1928,Success,Latin America and Caribbean
Argentina,1917,1912,1928,Success,Latin America and Caribbean
Argentina,1918,1912,1928,Success,Latin America and Caribbean
Argentina,1919,1912,1928,Success,Latin America and Caribbean
Argentina,1920,1912,1928,Success,Latin America and Caribbean
Argentina,1921,1912,1928,Success,Latin America and Caribbean
Argentina,1922,1912,1928,Success,Latin America and Caribbean
Argentina,1923,1912,1928,Success,Latin America and Caribbean
Argentina,1924,1912,1928,Success,Latin America and Caribbean
Argentina,1925,1912,1928,Success,Latin America and Caribbean
Argentina,1926,1912,1928,Success,Latin America and Caribbean
Argentina,1927,1912,1928,Success,Latin America and Caribbean
Argentina,1928,1912,1928,Success,Latin America and Caribbean
Argentina,1932,1932,1933,Failed liberalization,Latin America and Caribbean
Argentina,1933,1932,1933,Failed liberalization,Latin America and Caribbean
Argentina,1946,1946,1948,Failed liberalization,Latin America and Caribbean
Argentina,1947,1946,1948,Failed liberalization,Latin America and Caribbean
Argentina,1948,1946,1948,Failed liberalization,Latin America and Caribbean
Argentina,1957,1957,1961,Preempted transition,Latin America and Caribbean
Argentina,1958,1957,1961,Preempted transition,Latin America and Caribbean
Argentina,1959,1957,1961,Preempted transition,Latin America and Caribbean
Argentina,1960,1957,1961,Preempted transition,Latin America and Caribbean
Argentina,1961,1957,1961,Preempted transition,Latin America and Caribbean
Argentina,1963,1963,1965,Success,Latin America and Caribbean
Argentina,1964,1963,1965,Success,Latin America and Caribbean
Argentina,1965,1963,1965,Success,Latin America and Caribbean
Argentina,1972,1972,1974,Preempted transition,Latin America and Caribbean
Argentina,1973,1972,1974,Preempted transition,Latin America and Caribbean
Argentina,1974,1972,1974,Preempted transition,Latin America and Caribbean
Argentina,1983,1983,1985,Success,Latin America and Caribbean
Argentina,1984,1983,1985,Success,Latin America and Caribbean
Argentina,1985,1983,1985,Success,Latin America and Caribbean
Armenia,2012,2012,2018,Censored,Europe and Central Asia
Armenia,2013,2012,2018,Censored,Europe and Central Asia
Armenia,2014,2012,2018,Censored,Europe and Central Asia
Armenia,2015,2012,2018,Censored,Europe and Central Asia
Armenia,2016,2012,2018,Censored,Europe and Central Asia
Armenia,2017,2012,2018,Censored,Europe and Central Asia
Armenia,2018,2012,2018,Censored,Europe and Central Asia
Austria,1918,1918,1923,Success,Europe and Central Asia
Austria,1919,1918,1923,Success,Europe and Central Asia
Austria,1920,1918,1923,Success,Europe and Central Asia
Austria,1921,1918,1923,Success,Europe and Central Asia
Austria,1922,1918,1923,Success,Europe and Central Asia
Austria,1923,1918,1923,Success,Europe and Central Asia
Azerbaijan,1991,1991,1993,Stabilized electoral autocracy,Europe and Central Asia
Azerbaijan,1992,1991,1993,Stabilized electoral autocracy,Europe and Central Asia
Azerbaijan,1993,1991,1993,Stabilized electoral autocracy,Europe and Central Asia
Bangladesh,1972,1972,1974,Failed liberalization,South Asia
Bangladesh,1973,1972,1974,Failed liberalization,South Asia
Bangladesh,1974,1972,1974,Failed liberalization,South Asia
Bangladesh,1977,1977,1980,Failed liberalization,South Asia
Bangladesh,1978,1977,1980,Failed liberalization,South Asia
Bangladesh,1979,1977,1980,Failed liberalization,South Asia
Bangladesh,1980,1977,1980,Failed liberalization,South Asia
Bangladesh,1985,1985,1987,Failed liberalization,South Asia
Bangladesh,1986,1985,1987,Failed liberalization,South Asia
Bangladesh,1987,1985,1987,Failed liberalization,South Asia
Bangladesh,1991,1991,1996,Success,South Asia
Bangladesh,1992,1991,1996,Success,South Asia
Bangladesh,1993,1991,1996,Success,South Asia
Bangladesh,1994,1991,1996,Success,South Asia
Bangladesh,1995,1991,1996,Success,South Asia
